sentence1,label
"ঠিক আছে, এটি ছিল খুবই নমনীয়- আমি তৈলাক্ত অংশকে মনে করি না (কারণ অধিকাংশই সেইভাবে রান্না হয়) ।",negative
"যাইহোক, তারা সবচেয়ে আশ্চর্যজনক pastrami পেয়েছেন এবং সূপ স্পট আঘাত।",positive
ভাল খাদ্য বন্ধুত্বপূর্ণ সার্ভিস আশা যায়,positive
"আরো উদ্বিগ্ন বলে মনে হয় ওয়েট্রেস, আসলে waitressing তুলনায় ভাল খুঁজছেন ।",negative
মদ কাচের দ্বারা যথেষ্ট না।,negative
আসলে মানুষকে বোকা বানাচ্ছে অনুগ্রহপূর্বক ব্যবসাটা একটু গুরুত্ব সহকারে নিয়েন ব্যবস্থাপনা খুবই বাজে কথার সাথে আইটেমের বর্নণার মিল নাই ইফতার প্লেটারটা বিশ্রী বার্গারের ভিতরের চিকেনটা কাচা ছিলনা হয়েছিল গ্রিল্ড তাছাড়া চিজ দেয়া হয়নাই,negative
"খাদ্যের মান চমৎকার এবং দাম সস্তা, শুকরের মাংস, মাছ, মুরগির, ভেড়ার বাচ্চা এবং শাক সবজি।",positive
আমি CA থেকে কিছু বন্ধুদের এনেছি এবং তারা এটা পছন্দ করেছ।,positive
সুস্বাদু খাদ্য নিউ সংবেদন এইমাত্র,positive
জীবনের সবচেয়ে খারাপ খাবার ঝুঁকিতে খেয়ে নিয়েন,negative
কখনো আমি এত অমনোযোগী আচরণ করি নি।,negative
বনের জন্য তারা কিন্তু খুব বড় ছিল।,negative
বিরল পছন্দ কখনো অভিজ্ঞতা চিন্তা স্টেক সন্তুষ্ট,negative
স্টাফ খারাপ আচরণ অত্যন্ত ওয়েটার ব্যবহৃত,negative
ভাল পরিবেশের সাথে ভাল মানের খাবার ধন্যবাদ,positive
আমি নিরামিষ ভোজি নই কিন্তু প্রায় সব খাবারই ভাল ছিল ।,positive
চলমান কিনতে এক বিনামূল্যে ভাল প্রস্তাব পেতে স্থানটি আরো ভাল জিনিস মান কোরিয়ান শৈলী মুরগির আইটেম স্থল অত্যন্ত মুরগির প্রেমীদের সুপারিশ,positive
পশ্চিম গ্রামে এটির বেশ মূল্য এবং বিশেষ করে পরিবেশর জন্য মহান বলে বিবেচনা করা হয়,positive
আপনি সবকিছু খেতে পারেন লেনদেন সত্যিই আশ্চর্যজনক এখানে।,positive
একটি গ্লাস জল আমাদের টেবিল দেওয়া হয় যার ঠক্ঠক্ শব্দএবং চেকের উপর এই রন্ধনসম্পর্কীয় দুঃস্বপ্নের উপসংহার,negative
অভিজ্ঞতায় সবচেয়ে খারাপ সেবার মুখোমুখি হলাম ঠান্ডা খাবার পরিবেশন এমনকি অভিযোগের পরিবর্তন ঠান্ডা খাবার পরিবেশন গুলশান ২ আউটলেটের পুরোপুরি মাতাল,negative
শুধু থাই নয়,negative
দাম অগণিত বৃদ্ধি অপশন একজন চা গোপন অন যোগ করুন খরচ হ্রাস অংশ কমে কখনো সার্ভিসটি অবনতি অত্যন্ত হতাশ পার্থক্য তৈরি সম্ভাবনাময় দোকান নির্বিকার বাণিজ্যিক ব্যবসা লাঞ্চের স্থাপন মোড়ানো চা খারাপ আসনবিন্যাস অপশন কতটা খরচ বাজার স্বল্পতা অন্যান্য অপশন টাকা খাদ্য সেবা ব্যয় খুঁজছেন,negative
"যাইহোক, এটি প্রশংসার না শুধুমাত্র খুব ভাল।",positive
(এর পাশাপাশি এই শহরের কাছাকাছি আরও রেস্টুরেন্ট হওয়া উচিত)।,positive
যদিও খুব ভাল নিখুঁত সমষ্টি ছিল।,positive
তারকা মহান আরামদায়ক পরিবেশ পিজাটা সর্বশ্রেষ্ঠ সেরা,positive
"এটা বরং তাদের দেরী ছিল,একটি ঘন্টা ধরে বসে থাকতে",negative
পরিবারকে ডিনারের গিয়েছিলাম দেশী চিকেন নান সেট মেনু অর্ডার করেছিলাম বিশ্বাস খাবার টা দেখলাম গোড়া ভীষণ ক্ষুব্ধ হয়েছিলাম কারন রেস্টুরেন্টে খারাপ দেশী চিকেন খাদ্য কখনই দেখিনাই মুরগিটা জঘন্য সেদ্ধ টুকরাগুলো রাবারের মত প্রচুর খারাপ গন্ধ আসছিলো জানিনা খারাপ অন্যকিছু কিনা সবচেয়ে বেদনাদায়ক জি সুন্দর ভয়াবহ খাবার আনতে ঘণ্টার বেশি সময় লেগেছে বাবা সেট মেনু আইটেম অর্ডার দিয়েছিলেন দেশী চিকেন যেটা আমারটার খারাপ গন্ধ কর্মীদের আচরণ ভাল খারাপ খাবার দীর্ঘ অপেক্ষার সাথে তুলনা যায়না জানি না অভিজ্ঞতা দুর্ঘটনা নিশ্চিত ভয়ঙ্কর,negative
আমাদের সার্ভার খুবই সহায়ক এবং বন্ধুত্বপূর্ণ ছিল।,positive
"সত্যিই বার সময়ে নিজেদেরকে উপভোগ করার পরে, আমরা একটি টেবিলের উপর বসে ডিনারে ছিলাম।",positive
এটির মান একটি যুগ্ম মান নয়।,negative
একটি চিকিত্সা বার এ নাক নিকি ।,positive
"কিন্তু ম্যানেজার এত সুন্দর ছিল,আমাদের একটি দুর্দান্ত অভিজ্ঞতা অপেক্ষা করা হয়েছে,আমাদের অল্প সময়ের জন্য বারে অপেক্ষা করতে হয়েছিল,রাতের বেলা রিজার্ভেশন ছাড়াই।",positive
"হতাশাদায়ক খাদ্য, অকথিত সেবা",negative
"এটি একটি আনন্দদায়ক অভিজ্ঞতা ছিল যা,Pastrami স্যান্ডউইচ buttah মত ছিল এবং টুকরা এবং একটি বরফের ঠান্ডা বিয়ার এটি ধোয়া নিচে ছিল",positive
বাস্তব মসলা ভরাট আসুন ভোগ,positive
মরিচ স্টেক আদেশ নিরাশ নি তোলে তারমধ্যে অন্যতম,negative
"তবে সেবা যেমনই হোক, বাগান একটি উজ্জ্বল ফুল ছিল,",positive
"ভাল খাদ্য,ভাল পরিকল্পনা এবং চমৎকার পরিবেশনা।",positive
"স্যান্ডউইচ শুষ্ক,সাদহীন এবং অত্যধিক প্রসারিত।",negative
ভাল খাদ্য দাম অনুযায়ী ঠিক,positive
একজন নিরামিষ ভোজি সত্যিই জন্যএকটি ভাল জায়গা না,negative
চ টাকায় চিকেন ফ্রাই মুরগির পান্থপথের শাখা অর্ডার অনলাইন ক্রম টাকায় মুরগির জিজ্ঞাসা চিকেন ফ্রাই প্রদান অক্ষম উর অফার দেখাচ্ছে আছ,negative
প্রতারক ভাপে রাঁধাচারটি ছোট মাংসের চপ চেষ্টা যোগ্য না,negative
টম খা স্যুপটি ছিল অনুপযুক্ত,negative
আমরা সাধারণত ভাল রেস্টুরেন্ট পছন্দ করি এবং প্রায়ই খাওয়া হয় কিন্তু কাই আমরা পেয়েছিলাম কি জন্য ব্যয়বহুল উপায় ছিল।,negative
"যাইহোক, ২003 এর গ্রীষ্মে, মনে হয় ব্যবস্থাপনাটি বদলে গেছে এবং দারুণ রোমান্টিক ব্যাকআপের দরুন গ্লাস ফ্রন্টের বড় দরজাটি স্থানান্তরিত হয়েছে।",negative
আমি এটা পছন্দ করি এবং শীঘ্রই ফিরে আসতে হবে,positive
কেএফসি গুলশান নালী নিয়মিত ভোক্তা কোষাধ্যক্ষ অদ্ভুত পদ্ধতির সম্মুখীন হয়েছি পিসি চিকেন খাবার আদেশ বুঝতে সংগ্রাম শেষ ফ্রাই প্যাকগুলি দান শেষ বললাম খাবার আদেশ শুধুমাত্র এক প্যাক মুরগির পিসি আদেশ ব্যাখ্যা খাবার আদেশ যাচ্ছিলেন এদিক ওদিক বিভ্রান্ত করলো প্রশিক্ষণার্থী কল জ্যেষ্ঠ পরিচালক ব্যাখ্যা পাশে দাঁড়াল জানান কোষাধ্যক্ষ পরিবর্তে জানান বিচলিত ফ্রাই প্যাক দেখিয়ে বলছে পিসি মুরগির আদেশ লোক দাঁড়িয়ে ধাপ ধাপ আদেশ গ্রহণ চুপ রইলো কার্ড প্রকার কৃতজ্ঞতা বিভ্রান্তির ক্ষমা প্রার্থনা বিনিময় নেই আরো খারাপ কিছুদিনের পরিষ্কার সময়ের চক্ষু যোগাযোগ দম্পতি বিনিময় জনসাধারণের নাম লাগাতে না ইনবক্সে খুশি,negative
যাই না দামটা সম্পর্কে দ্বিগুণ উচ্চ,negative
টেস্ট ভাল চিকেন প্লেটার সেবাটা একটু ভাল পারত সর্বোপরি বন্ধু পরিবারকে মত সুন্দর জায়গা,positive
নিস অভ্যন্তর চমৎকার আচরণ ভালো খাবার যুক্তিসংগত মূল্য,positive
"তার সম্প্রদায়ের জন্য সত্যিকারের ভালবাসা সঙ্গে তার বাবার চাচা এর legacies বহন আবার উত্থাপিত হয়েছে।এমনকি অচেনা বিখ্যাত রে এর দ্বারা ধাক্কা পরেও, Sal একটি হাসা, , এবং এর শ্রেষ্ঠ পিজা ভুলবেন না!",positive
"আপনি তাদের জন্য মূল্যের দামের মূল্য পাবেন, যদিও মাকড়সা রোলটি খেতে একটি চ্যালেঞ্জের মতো হতে পারে, তবে নরম শেলের কাঁকড়াটি রোলটি দিয়ে ঝুলিয়ে রাখলেও।",positive
কিন্তু যাই হোক না কেন দামটা সম্পর্কে দ্বিগুণ উচ্চ হয়,negative
সবসময় সীমান্ত এসেছে প্রেমের বার্গার দোকান ক্যাপ্টেন কুক,positive
লা খারাপ অভিজ্ঞতা আশা দর্শন লগ উন্নত,negative
"মাছ দুর্ভাগ্যবশত অতীতের মত অতীত হিসাবে প্রস্তুত ছিল না,মিসু স্যুপের স্বাদ ছিল।",negative
এটি একমাত্র স্থান যেখানে আপনি আত্মবিশ্বাসী জাপানি সান্ত্বনা খাদ্য পেতে পারেন,positive
তোমাকে কুলারীর কাছে যেতে হবে।,negative
খাদ্য মহান সম্পর্কে সন্দেহ না সার্ভিস ভয়ঙ্কর অর্ডার রেস্টুরেন্ট শুভেচ্ছা বজায় রাখার মানুষ আসছে বিরত সার্ভিস উন্নত,negative
বার্গার প্রেমীদের বিশেষভাবে স্থান যেতেই বার্গার হট মহিষ উইংস মুগ্ধ করছি গুণমানের সেরা ক্যাপ্টেন কুক রাখুন,positive
ধানমন্ডি এলাকায় মহান বার্গার দোকান অভিলাষও অবশিষ্ট অধিনায়ক ভাল রান্না,positive
আমি যদি টাকা দিতে না পারতাম তবে আমাকে আবার ফিরে যেতে হত।,positive
ভিন্ন স্বাদ অত্যন্ত ব্যয়বহুল ছোট জায়গা,negative
নকশা প্রচারণা যোগাযোগমূলক নয় এফবি পৃষ্ঠা পৃষ্ঠা পরিচালনা পেশাদার মানুষ আন্তর্জাতিক ব্র্যান্ড দুঃখিত প্রতিনিধিত্ব না অলিভ অয়েল না,negative
"এই NY মধ্যে একটি বিরল মণি,আমি এই জায়গা থেকে চালু ছিলামএবং খুশি ছিলাম ।",positive
একটি ছোট কৃতিত্ব এলাকায় ভাল ফরাসি খাদ্যের জন্য ।,positive
আমি মনে করি এটা একেবারে উজ্জ্বল এবং ভাল চালানো ব্যবসা অপারেশন।,positive
"আমরা এক টেবিলে বসে সেরা দৃশ্যের একটিতে বসেছিলাম,যদিও আমি সন্ধ্যায় বিকেল 3 টায় ডিনারের ব্রোকারের মাধ্যমে রিজার্ভেশন তৈরি করেছিলাম।",positive
যেমন ভাল নকশা এবং বায়ুমণ্ডল,positive
খাদ্য সেবা ভাল খাবারের মান ভাল পারত,positive
সুস্বাদু খাবারটা সত্যিই ভাল তৈরি আলুটা অসাধারণ,positive
দর্শন লগ মিষ্টি উর চিনি ভর্তি দর্শন লগ ডায়াবেটিকসের স্বাস্থ্যের ক্ষতিকারক সতর্কতা অবলম্বন,negative
"সবাই তাড়াতাড়ি যান খুঁজে বের করার আগে,",positive
"ভাল খাবার, সেবা ঠিক আছে।",positive
এভারেজ মানের খাবার যাবনা সর্বোপরি একটা রেস্টুরেন্টে যাব খাবারই সুস্বাদু না,negative
সর্বদা কফি খাবার সেরা সামগ্রী আচরণ ভাল সম্পূর্ণরূপে সন্তুষ্ট করছি,negative
জায়গাটি ভালোবাসা সুন্দর পরিবেশ,positive
"গ্রেট bagels, স্প্রেড এবং একটি ভাল জায়গা মধ্যে থাকা আউট",positive
আমদের আট জনের একটি গ্রুপ ছিল এবং বেশ ভাল ।,positive
"আমি বলব স্পষ্টতই আমার প্রিয়, এই বাগানের ফাস্ট ফুড যুগটি",positive
শুধু ঘেউ অলংকরণ খাদ্য নির্বাক সত্যিই জায়গা পছন্দ গুড জব,negative
"গ্রেট বার, আপনার দেখা সবচেয়ে জমকালো bartenders (বিশেষত স্বর্ণকেশী ভদ্রমহিলা)।",positive
ভাল খাবারের ভাল পরিবেশ পছন্দ হয়েছে এগিয়ে,positive
এককথায় ভাল খাবার সত্যিই ভাল,positive
আমার রুমমেট এবং আমি এই জায়গা পছন্দ করি।,positive
মুরগির শেষভাগ নিয়েছে হচছে তেল ঢেলে মরিচ গুঁড়ো সস এলার্ঞ্জেন্ট লাল,negative
"সম্ভাবত এটি একটি ছোট আরামদায়ক রেস্টুরেন্ট,ভাল সজ্জার সঙ্গে রোমান্টিক অনুভূতি, ।",positive
আমি তাদের কোন উচ্চমানের ঈশ্বরমোহর পিজার জন্য পরামর্শ দিব না।,positive
শ্রিম্প পিজা চিকেন ক্রীম পাস্তা চেষ্টা পারফেক্ট বার্গার পরের দর্শন ফ্রাই আশা ব্যক্তিগত শীর্ষ টাউন বার্গার তালিকার তৈরি হ্যাঁ নই,positive
ভাল সাস্থ্যকর খাবার,positive
সুপার খাদ্য দারুন জায়গা,positive
পুরনো ঢাকায় সর্বোত্তম অনন্য খাবারের কন্সেপ্ট খাবার পছন্দ করেছি,positive
সেবার মান খারাপ ফ্রাইড রাইস অর্ডার করেছিলাম সবজি মিষ্টি টক মুরগির চাল শাকসবজি পরিবেশিত মিনিট চিকেন প্লেটার ড্রিঙ্কস খাদ্য স্বাদ ভাল না খারাপ না মূল্য পরিবেশিত উচ্চ খাবারের তুলনায় অন্যান্য রেস্টুরেন্ট জি সুন্দর আপনাকে পরামর্শ দিচ্ছি না,negative
"যদিও আমি মানুষকে এই জায়গাগুলির দাম জানিয়ে দেই তবে বাইরের তালিকা বন্ধ হবে - দুর্ভাগ্যবশত - দুঃখিত, - NYC- এর পিজা সেরা নয়।",negative
"আমি ব্র্যাঞ্চের জন্য তাদের ডিম বেনেডিক্ট করতাম, যা আমার সমগ্র জীবনে সবচেয়ে খারাপ ছিল, আমি হোলান্দিজ সসকে সম্পূর্ণভাবে মুছে ফেলার চেষ্টা করেছিলাম যা এটি আমার ছিল ব্যর্থতা।",negative
আমি প্রায়ই আমার পরিবারের সাথে সেখানে খেতে যাই,negative
"আমি শুধুমাত্র একটি হালকা তেল এবং রসুন সস মধ্যে spinach রাভিওলি একটি সহজ থালা চেষ্টা করেছি, কিন্তু এটি আসলে সবচেয়ে এনওয়াইসি ইতালীয় সংযোজন তুলনায় ভাল faired আমি এ অনুরূপ রান্নার চেষ্টা করেছি",positive
আমি picky না -কিন্তু এটি আসলে মোটামুটি ছিল,negative
প্রথমত গ্রেট ডেকোরেশন গ্রেট আতিথেয়তা যুক্তিসঙ্গত খাবারের মূল্য খাবার একেবারে জিভে জল এনে দেওয়ার মত মেনুতে প্রশংসাসূচক খাবারের বিশেষ ধন্যবাদ করাহী চোল ভাতোর চুদি আলু পরাথা বেশিরভাগ হায়দরাবাদী ডোসা পুরনো ঢাকায় সবচেয়ে ভাল রেস্তোরাঁ চাই এক কথায় লাজাওয়াব,positive
শুধুমাত্র সমস্যা পরিমাণ যথেষ্ট নয়,negative
অত্যধিক ব্যয়বহুল মুরগি স্বাদ ছাড়াই এরচেয়ে সস্তা কেএফসি স্থানীয় চিকেন ভাল,negative
"এটি অপেক্ষা করছে এটি অসামঞ্জস্যপূর্ণ,সামগ্রিকভাবে একটি ওহ",positive
খাদ্য বাংলাদেশে শ্রেষ্ঠ মান পালিশ পরিষেবা চমৎকার,positive
বেঞ্চ খুঁজে কটি প্লেটে আপনার খাদ্য নিয়ে ঘুরে বসুন,positive
ভাতের দাম ৬০ টাকা আপনাদের আক্কল বুদ্ধি বিলা এমনে কইরা জুলুম করতাছেন ফেরত পাবেন দুনিয়ায় না পরের দুনিয়ায়,negative
চমৎকার মান,positive
খাদ্য মানের অত্যধিক সুস্থ ভাল পছন্দ,positive
আমার স্বামী এবং আমি সিংগারা খাচছিলাম,positive
তোমরা সর্বনিম্ন ক্রম ফেসবুকের বিজ্ঞাপন পোস্ট সম্পর্কে উল্লেখ বলছেন সর্বনিম্ন ক্রম বিনামূল্যে বিতরণ তথ্য উভয় উল্লেখ নি গ্রাহকদের বিভ্রান্ত,negative
"এটি মূল দোকান কারণ,প্রথম অ্যালবামটি দেখতে আসার জন্য।",positive
বেইলি রোড শাখাতে সুপার ধীর সেবা,negative
পরিবেশ ভয়াবহ প্রথমবারের মত গিয়েছিলাম নি কিভাবে জায়গা অর্ডার এন ওয়েটার সহযোগিতা নি উপহাস করত গল্প শব্দ কাছাকাছি জায়গা ক্ষুদ্র মানুষের সাথে ভীড় সেবা খারাপ অবিলম্বে ছেড়ে চেয়েছিলেন সমস্যা না,negative
বেশি দাম এড়ানোর কোটিপতি নয়,negative
"আমাদের পাশের টেবিলটি জিজ্ঞাসা করল, তিনি কি আঙ্গুরকে চূর্ণবিচূর্ণ করে দিবেন, যখন তার দীর্ঘ মেয়াদি মদ থেকে বোতল বেরিয়ে আসবে?",negative
ভয়াবহ সেবা,negative
মান খাবারের স্বাদ খাদ্য ভাল কোনোটাই ভাল না তাছাড়া খাবারের দাম একটু কেমন উলট পালট কিনা পরিবার ডিনারের বেশী বিল পরিশোধ মহান নয় এছাড়াও সঠিক তথ্য দেয়নি গত সপ্তাহে বিজ্ঞাপনে বলেছিল ডিসকাউন্টা ছিলনা উল্লেখ্য সময় ফ্রেম পেতে পৌঁছানোর বলেছিলেন সময়ের সাথে কিনতে না,negative
খাদ্য সরবরাহ সারা বছর ধরে সামঞ্জস্যপূর্ণ ছিল এবং এটি আপনাকে কখনো নিচে নামাবে না ।,positive
চিকেন ফ্রাই ফ্রেন্স ফ্রাই সুপার চার্জার থাই মসলা চিকেন আদেশ মুরগির ফ্রাই স্বাদ ভয়ঙ্কর সবসময় কেএফসি পছন্দ হতাশ অভদ্র দুঃখিত ধন্যবাদ,negative
"খুব কল্পনাবিলাসী আগুন - আমি আক্ষরিকভাবে ল্যানটারনায় সময় কাটিয়েছি, তাদের ওয়াইন থেকে ওয়াইন পান করেছি এবং পরিবেশ উপভোগ করেছি।",positive
খাদ্য অধিকাংশ সুস্বাদু ভাল এলাকায় সেরা রেস্টুরেন্ট এক,positive
পিজা ভালোবাসা গিয়েছিলাম পরিবেশ ভাল,positive
"এটি খাদ্য এবং আবহ সম্পর্কে, এবং কিভাবে এটি ভয়ঙ্কর হবে শুধুমাত্র একটি নিষ্ক্রিয় ইঞ্জিন দাড়া আমরা কল্পনা করতে পারি ।",negative
"আমি একজন বিশেষ ভোজন প্রিয় বন্ধুর মাধ্যমে এই রেস্টুরেন্টের সাথে পরিচিত হই , এবং কখনও কখনও নিয়মিত ফিরে আসি",positive
আমি গত মাসে জিমির ব্রঙ্কস ক্যাফের চেয়ে বেশি আবেগপ্রবণ বোধ করিনি।,negative
মনে হচ্ছে এই জায়গাটি স্থানীয়দের মতো এবং এখানে যারা কাজ করছে তারাও এটি পছন্দ করে।,positive
"ওয়েল মূল্য,কাছাকাছি ট্রিপ,শহরের হল এবং ডাউনটাউন সাবওয়ে স্টপ বন্ধ ।",positive
চমৎকার পরিবেশ সন্ধ্যা উপভোগ করুন খাবার,positive
ঘন্টা অপেক্ষা খাবার মিনিট মিনিট বলার অপেক্ষা রাখে না সিদ্ধান্ত নিয়েছে আউট হেটে,negative
ন্যায্য মূল্য অত্যন্ত সুস্বাদু খাদ্য কাবাব পাবেন প্রেমীদের চেষ্টা,negative
স্বাদ সাথে খারাপ খাদ্য মান খারাপ দো টাকা সময় পুরাই নষ্ট না,negative
"দ্বিতীয়বারের মতো আমার পাদদেশে, আমার দিকে তাকাতে লাগলো যাতে আলোকে সামঞ্জস্য করতে পারি।",negative
স্ত্রীর সাথে গিয়েছিলাম পরিবার মান সময় পাস চিন্তা বৈঠক পার্টি ঢাকা মাছের বাজার মত চিৎকার না অবস্থা উপলব্ধি অর্ডার বাতিল চেয়েছিলেন রেস্টুরেন্টে বেতন বাধ্য পরিবেশ নিয়ন্ত্রণ না মৃদু মানুষের ঠিক প্রস্রাব বন্ধ অপ্রীতিকর মিটিং বলছি পার্সেল মত খাদ্য স্বাদ এমনকি মুরগির সঠিকভাবে ভাজা নি আনন্দে চিৎকার বিধ্বস্ত বোধ খাবার মন্তব্য চাই না,negative
খারাপ খাদ্য বিশ্বের সবচেয়ে খারাপ সেবা শীর্ষস্থান লাভ আরো টাকা সংগ্রহ অন্যান্য জায়গা করুন,negative
সব অধিকার সুবিধাজনকভাবে বিতরণ করতে হবে।,positive
দাম বেশী খাদ্য মান তুলনা,negative
"এই পাল্টার পিছনে, দুই পুরুষদের মধ্যে চিপানো হয়",negative
খারাপ খাদ্য গুণমান স্বাস্থ্যবিধি মুরগির বড় চুল অনুভূত মত চুল মুরগির ইশ,negative
"আমাদের টোস্ট ভুলে গেছি,তাদের পেঁয়াজ ছিল না, , বাম দিকের উপাদানগুলি (একটি omelet পনির), গরম তাপমাত্রা নিচে এবং বেসিন এত উপর রান্না করা ছিল, যখন এটি আমি প্লেট উপর করে crumbled স্পর্শ করি।",negative
গুড সময় ভাল খাদ্য জায়গা,positive
আপনি অন্যান্য ফরাসি Bistros অনেক টাকা একই পরিমাণ জন্য একটি ভাল ডাইনিং অভিজ্ঞতা পেতে পারেন।,negative
গুলশান অসংখ্য প্রতিটি অনুষ্ঠানে পুঙ্খানুপুঙ্খভাবে খুশী চলেছি বায়ুমণ্ডল সুন্দর ওয়েটার বন্ধুত্বপূর্ণ টেবিল পরিষ্কার খাদ্য সুস্বাদু অত্যধিক বিস্তারিত ডিশ বিশ্বজনীনভাবে সুপারিশ পেন মাশরুম স্যুপ কোরীয় মুরগির ইতিমধ্যে চলেছি সময় কিনা আইটেম হতাশ না,positive
অসাধারণ সুস্বাদু খাদ্য ভাল সার্ভিস নিশ্চিত জায়গাটা সেরা কোরিয়ান ভালোবাসি,positive
গ্রেট খাবার বিশেষ ললিপপ চিকেন প্রত্যেকেরই স্বাদ নেয়া,positive
শুধু কাইতেখেয়েছি হতাশ হয়েছি,negative
জায়গাটি চমৎকার এবং শান্ত ছিল।,positive
"আমি লিখতে অনিচ্ছুক কারণ আমি চাই না, আমার জমির একটি জমিতে ভীড় জাগিয়ে তুলতে।",positive
সুস্বাদু খাবারের চমৎকার জায়গা,positive
পিজা ভয়ঙ্কর যৌনসঙ্গম কেমন আছেন জি সুন্দর পিজ্জা পেরেছিলাম,negative
খাবারের মান স্বাদ ভাল নয় খাবারের সমন্বয় ভাল মত আপনাকে পরিবারের সাথে ডিনারের টাকা এছাড়াও স্বচ্ছ নন গত সপ্তাহে বিজ্ঞাপন দিয়েছিল একটিকে কিনলে বিনামূল্যে আরেকটি ফ্রি খাবারের সময় ফ্রেমে উল্লেখ নাই পৌঁছলাম বলেছিল সময় শেষ,negative
অনন্য হিম আইটেম চেষ্টা ওয়ানা সাদাসিধা প্যাস্ট্রি আস্বাদন ওয়ানা কাপ কেক ভাল এক চেষ্টা দেখো ঠান্ডা কফি পছন্দ শক্তিশালী পদাঘাত,positive
সত্যিই চমত্কার স্বাগত পানীয় চমৎকার পরিপাটি রেস্টুরেন্টে খাদ্যে সুস্বাদু,positive
একটা ভাল না,negative
ঢাকার উপরের বন্ধনীতে অসাধারণ স্বাদ সেবা মনোরম পরিবেশের কারণে কাস্টমারদের অন্যতম এক রেস্তোরাঁ নিশ্চিতভাবে শীর্ষস্থানীয় রেস্টুরেন্ট গুলোর হৃদয় জুড়ানো খাবারের বেশী প্রিয়,positive
রাস্তায় ঘুরে তমারির যাও,negative
"তার পানীয় খুব উদ্ভাবর্নী শক্তিসম্পন্ন , সুস্বাদু এবং উত্কৃষ্ট।",positive
কেবল টাস্টার পেতে,negative
"এই রেস্টুরেন্ট সম্পর্কে অন্য সবকিছু পিট হয়,দুর্ভাগ্যবশত, খাদ্য অসামান্য।",positive
অভিশাপ ভাল পছন্দ এগিয়ে,negative
খাদ্য সত্যিই সুস্বাদু বিশেষভাবে চিকেন কারি স্বাদ সন্ত্রস্ত,positive
খারাপ অবস্থা খাদ্যে অধ্যায় চেষ্টা ঠান্ডা কফি আদেশ বেশী ধোঁয়াটে সেবা সত্যিই শুভ উল্লেখ খাবার স্পষ্টভাবে না ভোগ,negative
"দ্বিতীয়ত, এই রাতে জায়গাটি পূর্ব দিকের মহিলার সুগন্ধি দ্বারা পরিপূর্ণ ছিল।",negative
বেশিরভাগ লোকই খাওয়াতে পছন্দ আপেল পূর্ব দিকের উন্নাসিক লোক সতর্ক থাকুন,negative
"স্পাইস হল গ্রেট থাই খাবার, সস্তা অ্যাপেটাইজারদের ভালোবাসা।",positive
গিয়েছিলাম ওয়েটার খারাপ সত্যিই অপ্রত্যাশিত,negative
ওয়ারী খাদ্য লাউঞ্জে খাদ্য খারাপ না সেবা খারাপ,negative
ভাল অভিজ্ঞতা না খাদ্য সার্ভিসর অর্থের মূল্য এমনকি অর্ধেক নয় খারাপ অংশ মুরগি এক চুল,negative
"সাজসজ্জা চমৎকার এবং minimalist, খাদ্য সহজ কিন্তু খুব ভাল উপস্থাপন এবং রান্না করা হয়, এবং ওয়াইন তালিকা খুব ভাল খাদ্য সঙ্গে মেলে।",positive
পরিষেবা সবসময় বন্ধুত্বপূর্ণ এবং কার্যকর হয়েছে,positive
এমনকি ওয়াইন ভাল ছিল কাচ দ্বারা ।,positive
কিন্তু শেষ রাতের জন্য স্পাইস গ্রিল একমাত্র জায়গা যেখানে আমি ভারতীয় খাবার খাচ্ছি।,positive
সেবা ব্যক্তিদের রান্নাঘর অতিথি সেবার সম্পর্কে ভুল খাদ্যে সঠিক রান্না সুস্বাদু না উষ্ণ না সুসজ্জিত সার্ভিস ঘনত্ব সঠিকভাবে অতিথি না না ক্লিন ছক দ্রুতগতিতে ফি সুন্দর খাদ্য দাম সার্ভিস যুক্তিসংগত নয় অতিথি সেবার যত্নশীল সঠিকভাবে হোপ যুক্তিসংগত মূল্য খাদ্যে গুণমান পরিমাণ অলংকরণ আরো ভাল সেবা সৌভাগ্য আপনাকে ধন্যবাদ,negative
এক খাবারের জন্য ভাগ্যবান স্ট্রাইকের কাছে যাওয়া উচিত নয়।,negative
কড়্কড়়্ শব্দকারী টুনা এটি জন্য মারা হয়,positive
নম্বর জায়গাটি তথাকথিত খ্যাতি অর্জনের,negative
আশ্চর্যজনক খাদ্য শুধু ভয়ঙ্কর,negative
যথাযত মূল্য নয়,negative
"তাদের calzones ভয়ানক হয়, খারাপ, বমি-উত্সাহ, YUCK",negative
যদি তারা এখন কেবল টাস্টার পেতে পারে,negative
"সেবা নিরীহ,সমাদর আনন্দদায়ক,",positive
খাদ্য হিসাবে সব সময়ের জন্য ভাল,positive
100 টিরও বেশি ভিন্ন পছন্দের আপনার নিজের তৈরি ।,positive
"বিশ্রামের জন্য কিছুই ছিল না,প্লেইন পিজা ছিল ভঙ্গুর এবং সৃজনশীল বন্য মাশরুম (তৃতীয় প্রজন্মের- ফোরনিনি) পিজা যা আমরা মাঝখানে truffle তেল দিয়ে ডুবিয়ে ছিলাম (আবার এটি ভোঁতা করা)",negative
জায়গাটি সুন্দরভাবে সজ্জিত খাদ্যের মানও প্রশংসনীয়,positive
জস জায়গা নিস সজ্জা মুখরোচক খাদ্য,positive
